id,name,gender,yearOfBirth,url,longitude,latitude
22,"Barret, George, Junior",Male,1767,http://www.tate.org.uk/art/artists/george-barret-junior-22,-0.127758,51.5074
21,"Barret, George, Senior",Male,1728,http://www.tate.org.uk/art/artists/george-barret-senior-21,-6.26031,53.3498
10168,"Barriball, Anna",Female,1972,http://www.tate.org.uk/art/artists/anna-barriball-10168,-4.14266,50.3755
24,"Barry, James",Male,1741,http://www.tate.org.uk/art/artists/james-barry-24,-8.48632,51.8969
2678,"Barth, Uta",Female,1958,http://www.tate.org.uk/art/artists/uta-barth-2678,13.405,52.52
698,"Bartlett, Jennifer",Female,1941,http://www.tate.org.uk/art/artists/jennifer-bartlett-698,-118.194,33.7701
2478,"Bartolozzi, Francesco",Male,1727,http://www.tate.org.uk/art/artists/francesco-bartolozzi-2478,11.2558,43.7696
6217,"Basbaum, Ricardo",Male,1961,http://www.tate.org.uk/art/artists/ricardo-basbaum-6217,-46.6333,-23.5505
699,"Baselitz, Georg",Male,1938,http://www.tate.org.uk/art/artists/georg-baselitz-699,13.2017,51.1045
700,"Baskin, Leonard",Male,1922,http://www.tate.org.uk/art/artists/leonard-baskin-700,-74.4518,40.4862
4915,"Batchelor, David",Male,1955,http://www.tate.org.uk/art/artists/david-batchelor-4915,-2.97072,56.462
701,"Bateman, James",Male,1893,http://www.tate.org.uk/art/artists/james-bateman-701,-2.74629,54.328
26,"Bates, Harry",Male,1850,http://www.tate.org.uk/art/artists/harry-bates-26,-0.196612,51.9038
702,"Bates, Maxwell",Male,1906,http://www.tate.org.uk/art/artists/maxwell-bates-702,-114.071,51.0486
8807,"Batterham, Richard",Male,1936,http://www.tate.org.uk/art/artists/richard-batterham-8807,-3.43597,55.3781
703,"Bauchant, Andr�",Male,1873,http://www.tate.org.uk/art/artists/andre-bauchant-703,0.90921,47.5919
704,"Bauer, Marius",Male,1867,http://www.tate.org.uk/art/artists/marius-bauer-704,4.3007,52.0705
705,"Baumeister, Willi",Male,1889,http://www.tate.org.uk/art/artists/willi-baumeister-705,9.18293,48.7758
706,"Baumgarten, Lothar",Male,1944,http://www.tate.org.uk/art/artists/lothar-baumgarten-706,12.8975,53.0984
707,"Bawden, Edward",Male,1903,http://www.tate.org.uk/art/artists/edward-bawden-707,0.550927,51.8801
708,"Bawden, Richard",Male,1936,http://www.tate.org.uk/art/artists/richard-bawden-708,0.475776,51.7668
709,"Baxter, Glen",Male,1944,http://www.tate.org.uk/art/artists/glen-baxter-709,-1.54908,53.8008
710,"Baxter, Iain",Male,1936,http://www.tate.org.uk/art/artists/iain-baxter-710,-1.17432,52.3555
711,"Bayer, Herbert",Male,1900,http://www.tate.org.uk/art/artists/herbert-bayer-711,13.6413,48.1851
712,"Bayes, Gilbert",Male,1872,http://www.tate.org.uk/art/artists/gilbert-bayes-712,-0.127758,51.5074
713,"Bayes, Walter",Male,1869,http://www.tate.org.uk/art/artists/walter-bayes-713,-0.127758,51.5074
6275,"Baynard, Ed",Male,1940,http://www.tate.org.uk/art/artists/ed-baynard-6275,-77.0369,38.9072
714,"Baziotes, William",Male,1912,http://www.tate.org.uk/art/artists/william-baziotes-714,-79.9959,40.4406
27,"Beach, Thomas",Male,1738,http://www.tate.org.uk/art/artists/thomas-beach-27,-2.33823,50.7391
2306,"Beale, Mary",Female,1633,http://www.tate.org.uk/art/artists/mary-beale-2306,-0.341995,51.5806
715,"Beament, Tib",Male,1941,http://www.tate.org.uk/art/artists/tib-beament-715,-106.347,56.1304
2705,"Beard, John",Male,1943,http://www.tate.org.uk/art/artists/john-beard-2705,-3.45182,51.7162
716,"Beardsley, Aubrey",Male,1872,http://www.tate.org.uk/art/artists/aubrey-beardsley-716,-0.137163,50.8225
717,"Beattie, Basil",Male,1935,http://www.tate.org.uk/art/artists/basil-beattie-717,-1.21293,54.6917
29,"Beaumont, Sir George Howland, Bt",Male,1753,http://www.tate.org.uk/art/artists/sir-george-howland-beaumont-bt-29,0.35792,51.8731
10983,"Beban, Breda",Female,1952,http://www.tate.org.uk/art/artists/breda-beban-10983,19.8335,45.2671
719,"Becker, Harald",Male,1940,http://www.tate.org.uk/art/artists/harald-becker-719,10.4515,51.1657
